"country_code","indicator_code","indicator_name","year","value","unit","value_type","source"
"MMR","GGXCNL_NGDP","Fiscal balance","2009","-3.6","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2010","-5.4","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2011","-4.8","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2012","-2.7","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2013","-1.5","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2014","-1.1","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2015","-4.3","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2016","-2.5","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2017","-3.4","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2018","-2.8","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2019","-4.7","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2020","-6.5","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2021","-2.2","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2022","-2.8","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2023","-2.8","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXCNL_NGDP","Fiscal balance","2024","-4.1","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","1998","208.6","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","1999","150.7","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2000","164.5","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
